Source,Target,Type,Id,Weight
150,153,Undirected,212,1.0
150,150,Undirected,213,1.0
150,159,Undirected,214,1.0
150,76,Undirected,215,1.0
150,55,Undirected,216,1.0
150,191,Undirected,217,1.0
216,217,Undirected,218,1.0
216,96,Undirected,219,1.0
23,217,Undirected,220,1.0
23,14,Undirected,221,1.0
23,155,Undirected,222,1.0
37,40,Undirected,223,1.0
37,36,Undirected,224,1.0
37,38,Undirected,225,1.0
37,205,Undirected,226,1.0
121,118,Undirected,227,1.0
121,123,Undirected,228,1.0
79,77,Undirected,229,1.0
79,118,Undirected,230,1.0
79,10,Undirected,231,1.0
79,245,Undirected,232,1.0
169,170,Undirected,233,1.0
169,171,Undirected,234,1.0
169,174,Undirected,235,1.0
169,272,Undirected,236,1.0
169,153,Undirected,237,1.0
122,120,Undirected,238,1.0
122,119,Undirected,239,1.0
44,42,Undirected,240,1.0
44,43,Undirected,241,1.0
44,82,Undirected,242,1.0
156,153,Undirected,243,1.0
156,150,Undirected,244,1.0
156,159,Undirected,245,1.0
156,13,Undirected,246,1.0
156,145,Undirected,247,1.0
156,30,Undirected,248,1.0
156,111,Undirected,249,1.0
156,143,Undirected,250,1.0
156,196,Undirected,251,1.0
165,166,Undirected,252,1.0
165,153,Undirected,253,1.0
165,167,Undirected,254,1.0
21,25,Undirected,255,1.0
21,118,Undirected,256,1.0
21,18,Undirected,257,1.0
36,40,Undirected,258,1.0
36,91,Undirected,259,1.0
36,37,Undirected,260,1.0
36,38,Undirected,261,1.0
36,39,Undirected,262,1.0
36,146,Undirected,263,1.0
36,3,Undirected,264,1.0
36,158,Undirected,265,1.0
36,226,Undirected,266,1.0
38,40,Undirected,267,1.0
38,36,Undirected,268,1.0
38,37,Undirected,269,1.0
38,118,Undirected,270,1.0
38,14,Undirected,271,1.0
38,63,Undirected,272,1.0
38,53,Undirected,273,1.0
51,124,Undirected,274,1.0
51,52,Undirected,275,1.0
86,91,Undirected,276,1.0
86,27,Undirected,277,1.0
263,269,Undirected,278,1.0
263,111,Undirected,279,1.0
123,118,Undirected,280,1.0
123,121,Undirected,281,1.0
123,95,Undirected,282,1.0
159,153,Undirected,283,1.0
159,150,Undirected,284,1.0
159,156,Undirected,285,1.0
159,92,Undirected,286,1.0
171,169,Undirected,287,1.0
171,170,Undirected,288,1.0
171,174,Undirected,289,1.0
171,272,Undirected,290,1.0
171,85,Undirected,291,1.0
272,174,Undirected,292,1.0
272,169,Undirected,293,1.0
272,170,Undirected,294,1.0
272,171,Undirected,295,1.0
174,169,Undirected,296,1.0
174,170,Undirected,297,1.0
174,171,Undirected,298,1.0
174,272,Undirected,299,1.0
174,85,Undirected,300,1.0
174,81,Undirected,301,1.0
174,48,Undirected,302,1.0
178,14,Undirected,303,1.0
178,155,Undirected,304,1.0
212,27,Undirected,305,1.0
212,213,Undirected,306,1.0
236,235,Undirected,307,1.0
134,132,Undirected,308,1.0
170,169,Undirected,309,1.0
170,171,Undirected,310,1.0
170,174,Undirected,311,1.0
